1. 央视,#genre#
CCTV-1 综合,rtsp://150.138.8.143/PLTV/88888888/224/3221226103/10000100000000060000000002902003_0.smil
CCTV-2 财经,rtsp://150.138.8.143/PLTV/88888888/224/3221226173/10000100000000060000000003110715_0.smil
CCTV-3 综艺,rtsp://150.138.8.143/PLTV/88888888/224/3221227134/415322505.smil
CCTV-4 中文国际,rtsp://150.138.8.143/PLTV/88888888/224/3221226179/10000100000000060000000003110724_0.smil
CCTV-5 体育,rtsp://150.138.8.143/PLTV/88888888/224/3221227138/415322482.smil
CCTV-6 电影,rtsp://150.138.8.132/PLTV/88888888/224/3221227213/432747447.smil
CCTV-7 国防军事,rtsp://150.138.8.143/PLTV/88888888/224/3221226175/10000100000000060000000003110716_0.smil
CCTV-8 电视剧,rtsp://150.138.8.143/PLTV/88888888/224/3221227031/410248915.smil
CCTV-9 记录,rtsp://150.138.8.143/PLTV/88888888/224/3221226177/10000100000000060000000003110720_0.smil
CCTV-10 科教,rtsp://150.138.8.143/PLTV/88888888/224/3221226181/10000100000000060000000003110727_0.smil
CCTV-11 戏曲,rtsp://150.138.8.143/PLTV/88888888/224/3221226826/395256095.smil
CCTV-12 社会与法,rtsp://150.138.8.143/PLTV/88888888/224/3221226183/10000100000000060000000003110728_0.smil
CCTV-13 新闻,rtsp://150.138.8.143/PLTV/88888888/224/3221226767/395256391.smil
CCTV-14 少儿,rtsp://150.138.8.143/PLTV/88888888/224/3221226185/10000100000000060000000003110729_0.smil
CCTV-15 音乐,rtsp://150.138.8.143/PLTV/88888888/224/3221226736/395256223.smil
CCTV-5+ 体育赛事,rtsp://150.138.8.143/PLTV/88888888/224/3221226143/10000100000000060000000003071273_0.smil
CCTV-17 农业农村,rtsp://150.138.8.143/PLTV/88888888/224/3221226366/10000100000000060000000003766311_0.smil
CCTV-4 中文国际 欧洲,rtsp://150.138.8.143/PLTV/88888888/224/3221227070/409210222.smil
CCTV-4 中文国际 美洲,rtsp://150.138.8.143/PLTV/88888888/224/3221227105/409210218.smil
CHC-家庭影院,rtsp://150.138.8.132/PLTV/88888888/224/3221227188/454656891.smil
CHC-影迷电影,rtsp://150.138.8.132/PLTV/88888888/224/3221227180/454656879.smil
CHC-动作电影,rtsp://150.138.8.132/PLTV/88888888/224/3221227184/454656910.smil
中国教育-1,rtsp://150.138.8.143/PLTV/88888888/224/3221226744/395256464.smil
