1. 央视,#genre#
CCTV-1 综合,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch12122514263996485740.rsc/72299_Uni.sdp
CCTV-2 财经,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch15111015505054435886.rsc/72248_Uni.sdp
CCTV-3 综艺,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch21072816504132734115.rsc/91829_Uni.sdp
CCTV-4 中文国际,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch17121814361050007455.rsc/76148_Uni.sdp
CCTV-5 体育,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch21072816512692879794.rsc/91884_Uni.sdp
CCTV-6 电影,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch21072816530254611367.rsc/91833_Uni.sdp
CCTV-7 国防军事,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch15111015535263088598.rsc/72231_Uni.sdp
CCTV-8 电视剧,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch21072816531463294165.rsc/91852_Uni.sdp
CCTV-9 纪录,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch15050917541424212319.rsc/72307_Uni.sdp
CCTV-10 科教,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch15111015554384702984.rsc/72239_Uni.sdp
CCTV-11 戏曲,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch11122400354496191158.rsc/72374_Uni.sdp
CCTV-12 社会与法,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch15111015571407754299.rsc/72225_Uni.sdp
CCTV-13 新闻,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch15050914361303395989.rsc/72300_Uni.sdp
CCTV-14 少儿,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch15111016003483433803.rsc/72227_Uni.sdp
CCTV-15 音乐,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch11122400365842237336.rsc/72366_Uni.sdp
CCTV-16 奥林匹克,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21092610324607482092.rsc/92499_Uni.sdp
CCTV-17 农业农村,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch19073116233495000222.rsc/85721_Uni.sdp
CCTV-4 中文国际 欧洲,rtsp://119.180.21.9:1554/iptv/import/Tvod/iptv/001/001/ch21062215382556856499.rsc/91657_Uni.sdp
CCTV-4 中文国际 美洲,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch21062215392161397058.rsc/91686_Uni.sdp
CCTV-5+ 体育赛事,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch11061217321508656858.rsc/72278_Uni.sdp
CHC-家庭影院,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch18120514091718394256.rsc/83190_Uni.sdp
CHC-影迷电影,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch18120514102191199606.rsc/81250_Uni.sdp
CHC-动作电影,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch18120514100139517699.rsc/83191_Uni.sdp
CGTN,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch15050914501799552135.rsc/72271_Uni.sdp
CGTN-纪录,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch21062215405197977873.rsc/91704_Uni.sdp
中国教育-1,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch17120418204481298161.rsc/75058_Uni.sdp
中国教育-2,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch17120417211408620162.rsc/74879_Uni.sdp
中国教育-4,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch17120418055568047747.rsc/74935_Uni.sdp

CCTV-1 综合,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch12122514263996485740.rsc/69958_Uni.sdp
CCTV-2 财经,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch15111015505054435886.rsc/70018_Uni.sdp
CCTV-3 综艺,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21072816504132734115.rsc/91877_Uni.sdp
CCTV-4 中文国际,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch17121814361050007455.rsc/75843_Uni.sdp
CCTV-5 体育,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch21072816512692879794.rsc/91882_Uni.sdp
CCTV-6 电影,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21072816530254611367.rsc/91842_Uni.sdp
CCTV-7 国防军事,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15111015535263088598.rsc/69960_Uni.sdp
CCTV-8 电视剧,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch21072816531463294165.rsc/91850_Uni.sdp
CCTV-9 纪录,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15050917541424212319.rsc/70042_Uni.sdp
CCTV-10 科教,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch15111015554384702984.rsc/69941_Uni.sdp
CCTV-11 戏曲,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch11122400354496191158.rsc/70045_Uni.sdp
CCTV-12 社会与法,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch15111015571407754299.rsc/70056_Uni.sdp
CCTV-13 新闻,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch15050914361303395989.rsc/69923_Uni.sdp
CCTV-14 少儿,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15111016003483433803.rsc/69975_Uni.sdp
CCTV-15 音乐,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch11122400365842237336.rsc/70037_Uni.sdp
CCTV-16 奥林匹克,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch21092610324607482092.rsc/92499_Uni.sdp
CCTV-17 农业农村,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch19073116233495000222.rsc/85717_Uni.sdp
CCTV-4 中文国际 欧洲,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215382556856499.rsc/91655_Uni.sdp
CCTV-4 中文国际 美洲,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215392161397058.rsc/91682_Uni.sdp
CCTV-5+ 体育赛事,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch11061217321508656858.rsc/70007_Uni.sdp
CHC-家庭影院,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch18120514091718394256.rsc/81481_Uni.sdp
CHC-影迷电影,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch18120514102191199606.rsc/81478_Uni.sdp
CHC-动作电影,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch18120514100139517699.rsc/81477_Uni.sdp
CGTN,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15050914501799552135.rsc/70003_Uni.sdp
CGTN-纪录,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215405197977873.rsc/91702_Uni.sdp
中国教育-1,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch17120418204481298161.rsc/74278_Uni.sdp
中国教育-2,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch17120417211408620162.rsc/74298_Uni.sdp
中国教育-4,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch17120418055568047747.rsc/74289_Uni.sdp

 2. 山东,#genre#
山东卫视,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch15050916441119736372.rsc/72315_Uni.sdp
山东齐鲁,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch10120117223157422538.rsc/72370_Uni.sdp
山东新闻,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch10120117023986249401.rsc/72341_Uni.sdp
山东生活,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch10120117100570561699.rsc/72368_Uni.sdp
山东综艺,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch11012815051671532768.rsc/72276_Uni.sdp
山东农科,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch11012815072111657053.rsc/72268_Uni.sdp
